nama_destinasi_wisata,bulan,wisnus,wisman
TIJA Ancol,Januari,2320962.0,0.0
TIJA Ancol,Februari,1623862.0,0.0
TIJA Ancol,Maret,3217037.0,0.0
TIJA Ancol,April,2704564.0,0.0
TIJA Ancol,Mei,2450321.0,0.0
TIJA Ancol,Juni,2602906.0,0.0
TIJA Ancol,Juli,2228686.0,0.0
TIJA Ancol,Agustus,2327176.0,0.0
TIJA Ancol,September,1776705.0,0.0
TIJA Ancol,Oktober,2394318.0,0.0
TIJA Ancol,Nopember,2892948.0,0.0
TIJA Ancol,Desember,4426896.0,0.0
Taman Mini Indonesia Indah,Januari,398531.0,0.0
Taman Mini Indonesia Indah,Februari,241680.0,0.0
Taman Mini Indonesia Indah,Maret,402482.0,0.0
Taman Mini Indonesia Indah,April,341293.0,0.0
Taman Mini Indonesia Indah,Mei,429739.0,0.0
Taman Mini Indonesia Indah,Juni,404917.0,0.0
Taman Mini Indonesia Indah,Juli,319452.0,0.0
Taman Mini Indonesia Indah,Agustus,348916.0,0.0
Taman Mini Indonesia Indah,September,295399.0,0.0
Taman Mini Indonesia Indah,Oktober,408157.0,0.0
Taman Mini Indonesia Indah,Nopember,483500.0,0.0
Taman Mini Indonesia Indah,Desember,513669.0,0.0
Taman Marga Satwa Ragunan,Januari,424159.0,0.0
Taman Marga Satwa Ragunan,Februari,16842.0,0.0
Taman Marga Satwa Ragunan,Maret,297660.0,128.0
Taman Marga Satwa Ragunan,April,261670.0,98.0
Taman Marga Satwa Ragunan,Mei,387207.0,95.0
Taman Marga Satwa Ragunan,Juni,300366.0,0.0
Taman Marga Satwa Ragunan,Juli,348393.0,0.0
Taman Marga Satwa Ragunan,Agustus,663718.0,0.0
Taman Marga Satwa Ragunan,September,283771.0,0.0
Taman Marga Satwa Ragunan,Oktober,302756.0,0.0
Taman Marga Satwa Ragunan,Nopember,338967.0,0.0
Taman Marga Satwa Ragunan,Desember,474740.0,0.0
Monumen Nasional,Januari,133230.0,1967.0
Monumen Nasional,Februari,70228.0,2196.0
Monumen Nasional,Maret,94408.0,1678.0
