nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.99;ACEH
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.34;""SUMATERA UTARA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.09;""SUMATERA BARAT"""
Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;97.68;RIAU
Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.27;JAMBI
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;97.95;""SUMATERA SELATAN"""
Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.41;BENGKULU
Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;97.94;LAMPUNG
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;97.28;""KEP. BANGKA BELITUNG"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;97.61;""KEP. RIAU"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.14;""DKI JAKARTA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;97.89;""JAWA BARAT"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.61;""JAWA TENGAH"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;99.43;""DI YOGYAKARTA"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.27;""JAWA TIMUR"""
Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.22;BANTEN
Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;98.38;BALI
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;97.85;""NUSA TENGGARA BARAT"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;96.03;""NUSA TENGGARA TIMUR"""
"Angka Partisipasi Sekolah ( A P S );7-12;2011;Tahun;96.28;""KALIMANTAN BARAT"""
